date,minTemp,maxTemp,minHumidity,maxHumidity,motion
2021.08.13-00:29:09,17.2,28.9,72.1,77.3,0
2021.08.14-00:29:09,18.5,29.1,67.2,72.1,0
2021.08.15-00:29:09,16.3,32.2,69.5,73.4,0
2021.08.16-00:29:09,15.4,27.9,66.9,74.6,0
2021.08.17-00:29:09,14.2,21.1,68.9,75.6,0
2021.08.18-00:55:26,15.3,15.3,66.1,66.1,0
2021.08.19-00:55:26,11.8,27.7,35.9,77.9,0
2021.08.20-00:55:26,12.7,29.3,31.7,72.0,0
2021.08.21-00:55:26,16.2,30.2,36.5,68.3,0
2021.08.22-00:55:26,16.2,32.2,34.1,73.5,0
2021.08.23-00:30:46,21.8,22.5,66.3,71.0,0
2021.08.24-00:30:46,15.7,26.2,53.2,89.0,0
2021.08.25-00:30:46,14.3,21.2,52.3,76.8,0
2021.08.26-00:07:47,18.8,18.8,58.8,58.8,0
2021.08.27-00:07:47,13.7,17.8,66.2,83.4,0
2021.08.28-00:07:47,12.0,21.7,57.5,90.5,0
2021.08.29-00:07:47,15.2,24.9,47.4,82.3,0
2021.08.30-00:07:47,14.2,20.9,63.6,89.1,0
2021.09.31-00:07:47,12.8,24.2,50.5,86.0,0
2021.09.01-00:07:47,15.5,23.4,51.2,86.0,0
2021.09.02-00:07:47,13.2,21.5,48.2,76.1,0
2021.09.03-00:07:47,11.0,24.8,41.3,79.4,0
2021.09.04-00:07:47,11.9,27.2,36.0,79.8,0
2021.09.05-00:07:47,13.0,25.0,33.9,76.4,0
2021.09.06-00:07:47,8.5,23.6,33.7,70.7,0
2021.09.07-00:07:47,9.6,26.5,31.8,79.2,0
2021.09.08-00:07:47,10.5,27.2,33.5,70.6,0
2021.09.09-00:07:47,10.1,27.3,32.4,69.1,0
2021.09.10-00:52:41,15.0,17.2,53.6,60.2,0
2021.09.11-00:52:41,11.7,28.2,31.1,70.6,0
2021.09.12-00:54:32,14.5,16.5,53.6,60.6,0
2021.09.13-00:40:24,19.5,19.5,59.8,59.8,0
2021.09.14-00:53:19,18.1,21.3,55.0,63.9,0
2021.09.25-23:26:36,16.0,16.8,59.6,64.2
2021.09.26-23:26:36,11.6,28.2,38.2,75.3
2021.09.27-23:26:36,14.2,25.0,45.9,76.8
2021.09.28-23:26:36,16.0,23.2,54.5,82.1
2021.09.29-23:34:36,15.7,18.0,77.5,87.4
2021.10.01-23:15:11,12.8,12.8,85.3,85.3
2021.10.02-23:15:11,10.5,20.8,55.6,89.7
2021.10.03-23:03:49,15.2,15.2,51.7,51.7
2021.10.04-23:53:48,13.8,16.0,50.3,63.7
2021.10.05-23:18:56,16.4,19.4,39.6,49.8
2021.10.06-23:18:56,10.4,19.4,47.4,67.9
2021.10.07-23:13:07,13.5,18.7,44.4,54.8
2021.10.08-23:27:24,8.2,8.2,50.4,51.3
2021.10.09-23:53:49,9.2,16.0,33.1,53.2
2021.10.10-23:53:49,7.6,17.8,33.9,56.9
